inventory_id,fig_num,quantity
1706,fig-005625,1
1710,fig-001008,1
1713,fig-000361,1
1719,fig-006390,1
1734,fig-007621,1
1734,fig-007638,1
1736,fig-000030,1
1749,fig-002589,1
1749,fig-002590,1
1749,fig-002591,1
1751,fig-000386,1
1751,fig-008604,1
1751,fig-008605,1
1751,fig-008606,1
1751,fig-008607,1
1751,fig-008608,1
1756,fig-000341,1
1756,fig-010410,1
1766,fig-001150,1
1768,fig-005745,1
1770,fig-009205,1
1770,fig-009206,1
1770,fig-009207,1
1770,fig-009208,1
1770,fig-009209,1
1770,fig-009210,1
1772,fig-000141,1
1776,fig-009431,1
1776,fig-009432,1
1785,fig-000195,1
1785,fig-000359,1
1785,fig-000622,1
1785,fig-000631,1
1786,fig-007158,1
1786,fig-007159,1
1787,fig-003680,1
1787,fig-003681,1
1787,fig-003682,1
1787,fig-003684,1
1787,fig-003685,1
1789,fig-002309,1
1790,fig-001538,1
1796,fig-000020,1
1808,fig-001047,1
1809,fig-001254,1
1809,fig-002704,1
1818,fig-006956,1
1819,fig-000291,1
1819,fig-000838,1
1819,fig-005169,1
1819,fig-005170,1
1819,fig-005171,1
1819,fig-005172,1
1819,fig-005173,1
1820,fig-005143,1
1820,fig-005145,1
1821,fig-000614,1
1823,fig-000374,1
1823,fig-004510,1
1823,fig-006859,1
1823,fig-007421,1
1823,fig-007422,1
1828,fig-003613,1
1828,fig-003615,1
1832,fig-007139,1
1832,fig-007140,1
1832,fig-007141,1
1832,fig-007142,1
1832,fig-007143,1
1832,fig-007144,1
1833,fig-006700,1
1833,fig-006701,1
1833,fig-006702,1
1833,fig-006703,1
1833,fig-006704,1
1833,fig-006705,1
1833,fig-006706,1
1840,fig-000303,1
1840,fig-000806,1
1840,fig-003711,1
1842,fig-001784,1
1842,fig-003573,1
1842,fig-010625,1
1842,fig-010626,1
1842,fig-010627,1
1856,fig-000110,1
1860,fig-000022,1
1864,fig-000770,1
1868,fig-001485,1
1869,fig-001002,1
1869,fig-002229,1
1869,fig-006742,1
1869,fig-007634,1
1869,fig-007670,1
1869,fig-007675,1
1869,fig-007676,1
1869,fig-007678,1
1873,fig-009357,1
1873,fig-009358,1
1875,fig-002585,1
1875,fig-002586,1
1880,fig-001259,1
1881,fig-001426,1
1881,fig-002985,1
1881,fig-002989,1
1881,fig-002990,1
1881,fig-002991,1
1882,fig-010487,1
1886,fig-000960,1
1889,fig-000349,1
1898,fig-006960,1
1899,fig-006810,1
1899,fig-007582,1
1899,fig-007583,1
1899,fig-007584,1
1899,fig-007585,1
1899,fig-007586,1
1899,fig-007587,1
1910,fig-008702,1
1910,fig-008703,1
1912,fig-000755,1
1912,fig-008545,1
1912,fig-008546,1
1914,fig-001501,1
1922,fig-000742,1
1922,fig-010407,1
1923,fig-000691,1
1923,fig-008586,1
1927,fig-000782,3
1930,fig-001415,1
1930,fig-004581,1
1930,fig-004586,1
1930,fig-004591,1
1930,fig-004592,1
1932,fig-009630,1
1932,fig-009631,1
1934,fig-000127,1
1939,fig-006956,1
1946,fig-008166,1
1946,fig-008167,1
1946,fig-008168,1
1950,fig-001004,1
1952,fig-001161,1
1954,fig-000032,1
1962,fig-000413,1
1966,fig-000733,1
1968,fig-000948,1
1974,fig-001290,1
1976,fig-000064,1
1983,fig-000407,1
1985,fig-000565,1
1986,fig-000962,1
1987,fig-004714,1
1987,fig-004715,1
1987,fig-005146,1
1993,fig-001143,1
1998,fig-007854,1
1998,fig-007855,1
1998,fig-007856,1
2001,fig-005185,1
2001,fig-005186,1
2001,fig-005187,1
2001,fig-005188,1
2001,fig-005189,1
2002,fig-009003,2
2002,fig-009004,1
2010,fig-000403,1
2011,fig-000342,3
2011,fig-001178,1
2013,fig-000201,1
2016,fig-001241,1
2024,fig-005946,1
2024,fig-005947,1
2025,fig-010245,1
2025,fig-010246,1
2025,fig-010247,1
2026,fig-005778,1
2026,fig-009258,1
2040,fig-006408,1
2040,fig-006770,1
2041,fig-003612,2
2041,fig-003709,1
2041,fig-003710,1
2041,fig-003711,1
2046,fig-000443,1
2047,fig-007165,1
2047,fig-007166,1
2047,fig-007167,1
2047,fig-007168,1
2048,fig-004391,1
2048,fig-004975,1
2053,fig-001126,1
2056,fig-000742,1
2056,fig-000745,1
2057,fig-009385,1
2057,fig-009386,1
2062,fig-002524,1
2062,fig-003938,1
2062,fig-004047,1
2062,fig-004131,1
2062,fig-004737,1
2062,fig-004738,1
2062,fig-010464,1
2062,fig-010465,1
2062,fig-010466,1
2066,fig-001053,1
2066,fig-007438,1
2066,fig-007439,1
2066,fig-007440,1
2066,fig-007441,1
2067,fig-000508,1
2068,fig-005622,1
2073,fig-003418,1
2073,fig-003419,1
2082,fig-006617,2
2082,fig-006624,1
2084,fig-005187,1
2084,fig-005258,1
2084,fig-005259,1
2084,fig-005260,1
2085,fig-000025,1
2086,fig-006305,1
2086,fig-006307,1
2086,fig-006309,1
2086,fig-006310,1
2087,fig-001122,1
2089,fig-000290,1
2089,fig-000362,1
2089,fig-006598,1
2096,fig-000205,1
2109,fig-000883,1
2110,fig-004565,1
2110,fig-004574,1
2112,fig-002711,1
2112,fig-003033,1
2112,fig-003035,1
2112,fig-003052,1
2112,fig-003053,1
2117,fig-000573,1
2118,fig-002256,1
2118,fig-002278,1
2118,fig-002292,1
2118,fig-002296,1
2125,fig-000020,1
2126,fig-009172,1
2126,fig-009173,1
2126,fig-009174,1
2126,fig-009175,1
2126,fig-009176,1
2126,fig-009177,1
2126,fig-009178,1
2126,fig-009179,1
2126,fig-009180,1
2126,fig-009181,1
