element_id,part_num,color_id
300826,3008,0
6057363,973c03h03pr0512,0
6023799,970c00pr0439,0
6006052,970c00pr0360,0
6006005,973c03h03pr1904,0
6008796,973c03h14pr2129,0
6005642,973c12h03pr2088,0
6008025,973c03h01pr2115,0
6008015,973pr2110c01,0
4153412,40242,0
4153406,40241,0
3004326,30043,0
4508642,40238,0
4106513,30103,0
6016123,973c32h03pr2169,0
6037158,11101pat0001,0
6262290,970c00,5
4652384,30132,0
4617860,3006,0
4157659,40233,0
6080528,973c03h03pr2768,0
6022560,973c03h09pr2239,0
4242385,50859b,0
408126,4081b,0
6108553,18895,0
6016279,30381,0
4228161,30094,0
6099809,973c22h03pr2859,0
4541953,75c29,0
4116854,30099,0
4223362,30152pat0003,0
4114128,30152pat0001,0
4567999,88516,0
4587893,90463,0
6006043,973c03h03pr2094,0
6011634,4162pr0017,0
4247343,30162,0
383226,3832,0
6032017,85863pr0102,0
6016706,973c01h01pr2183,0
6020330,973c03h27pr2158,0
6018304,11100,0
4193779,32173,0
383126,3831,0
382026,3820,0
6029944,973c03h27pr2308,0
6035314,973c03h03pr2352,0
6023710,85863pr0052,0
4270676,50602,0
381826,3818,0
4644456,30136,0
4566955,87837,0
4296790,50955,0
6055879,10190,0
4246901,50951,0
4613936,30173a,0
4205760,3743,0
6057371,973c03h01pr0652,0
6057868,970x001pr0596,0
6102011,98133pr0016,0
4506838,6131pr0001,0
6005837,3736,0
373026,3730,0
4542891,3678bpr0041,0
6023418,30367cpr0003,0
6015953,3626cpr1069,0
4141720,32074c02,0
6000644,3688,0
368026,3680,0
367526,3675,0
4293457,2587pr0012,0
4528332,14226c31,0
4505756,59228,0
6098888,970c00pr0762,0
6099707,973pr2847c01,0
6039194,11215,0
4585582,85863pr0033,0
6029578,32525,0
4200023,30165,0
6102696,973c03h12pr2907,0
4558692,87408,0
4299389,56145,0
4548403,973c03h02pr1463,0
4248538,50944pr0001,0
6014652,30381,0
4113267,30135,0
4215149,3039pr0008,0
4529967,973c03h02pr1406,0
6045499,973c03h03pr1658,0
6036556,4162pr0020,0
6100851,19196pr0001,0
4541238,2431,19
6083346,3039pr0018,0
6027996,2397,0
4501046,3641,0
4218890,3046a,0
6101912,973c03h03pr2891,0
6038144,13789pr0001,0
6035141,13361pr0003,0
4501048,3483,0
244526,2445,0
393726,3937,0
6343565,10509pr0007,19
6037390,3007,0
6014648,88323,0
4566845,47757,0
4221659,3404,0
304826,3048c,0
6230116,58181,40
4144567,30396,0
4140809,30400,0
6022424,50944pr0001,0
4632571,4081b,0
6055143,970x330pr0574,0
6105926,973c30h03pr2946,0
6043835,973c03h12pr1186,0
4143875,30602,0
6040374,970x199pr0525,0
4522298,973pr1369bc01,0
4612563,75c08,0
4218982,3308,0
4521072,973c19h03pr1358,0
4558850,73590c03a,0
4519925,2339,0
6025264,973c03h03pr2286,0
4195197,3300,0
4167774,30608,0
329826,3298,0
6016718,92456c01pr0048,0
6057397,16091,0
4614226,75c09,0
4529549,32555,0
6034969,10066pr0001,0
4189286,78c06,0
6078232,17961,0
4569401,32552,0
6044188,3070bpr0076,0
4620564,973c03h03pr1727,0
4177434,32498,0
4291075,32482,0
4547251,61506,0
4194116,32476,0
6048746,6153b,0
4143514,32475,0
6020533,93565pr0003,0
4630140,973c27h01pr1806,0
4630159,970c00pr0238,0
4295417,14226c11,0
4614488,94352pr0004,0
6005430,47759pr0002,0
4500874,47759pr0003,0
4142236,32449,0
6037506,3844,0
4501726,32534,0
4584483,30613,0
4128593,32348,0
4503011,47899c03,0
6028731,6179pr0008,0
6096109,92258,0
6015698,11259pr0001,0
74741,2909c03,0
6056873,3069bpr0008,0
6022761,11947,0
6029223,87556pr0003,0
4541482,50948,0
4177431,32270,0
6070518,53992,0
4140328,32249,0
6073593,4162pr0033,0
4645732,40490,0
4655659,3626cpr0922,0
6102659,84638c04pr2821,0
6314452,973c10h02pr9657,320
6032245,973c03h03pr1148,0
4121610,32192,0
4542397,2450,70
4612296,92547pr0008,0
4567438,45705,0
6083540,85974pr0004,0
4119020,32180,0
6081988,63965,0
6032151,6179pr0004,0
6022380,6179pr0001,0
6022290,12550pr0003,0
306926,3069b,0
4624209,93057pr0001,0
6343976,23443,71
6062912,973c03h14pr2542,0
6044150,3070bpr0063,0
6044163,3070bpr0064,0
4288814,32146,0
6055626,15413,0
6044152,3070bpr0070,0
4114689,32124,0
6044160,3070bpr0073,0
6083701,970c00pr0740,0
6088638,46667,0
4144536,32084,0
4273590,49668,0
4275674,48092,0
6022464,6179pr0022,0
6022423,6179pr0021,0
4248204,32072,0
6020823,6179pr0020,0
4157670,32535,0
4114671,32069,0
6121894,15427pr0001,0
4114670,32068,0
4114634,32063,0
6044184,3070bpr0080,0
6044198,3070bpr0082,0
6044206,3070bpr0085,0
6044193,3070bpr0087,0
6044210,3070bpr0092,0
4129572,32059,0
6044213,3070bpr0093,0
6040652,11265pr0002,0
6021752,44675,0
6044215,3070bpr0094,0
6044228,3070bpr0099,0
4245120,50946,0
4112287,32056,0
6044232,3070bpr0100,0
6056326,973c03h03pr2503,0
6055319,973c03h03pr2490,0
4655565,973c03h03pr1961,0
6057869,970c00pr0603,0
4107081,32039,0
6062931,93219pr0007,0
4581556,75c24,0
4551360,30169,0
6083698,970c00pr0739,0
4547373,32019,0
6057687,973c03h12pr2544,0
6045860,973c03h26pr2462,0
6017000,11605,0
4107558,32018,0
4296268,75c12,0
4261036,76041c02,0
4503423,32017,0
6080356,15458,0
6122656,21445,0
6124650,3069bpr0153,0
4107084,32015,0
6022447,11602pr0001,0
4119333,32175,0
4107085,32013,0
6102198,31300c03,0
6093977,18575,0
6056825,55981,0
4595981,47517pr0001c01,0
4552413,4868b,0
4234438,32199,0
4289864,57999,0
6058096,970c00pr0611,0
4569106,87991,0
6125770,91968c01,0
