rel_type,child_part_num,parent_part_num
T,57562pat0002,57562
P,3004pr0016,3004
M,clikupn0116,51686
R,790,787c03
R,838,837
M,3005pr9934,3005pr9935
R,60642c02,60639c02
M,3005pr9890,3005pr9891
P,2454apr0003,2454a
A,3665a,3665
R,4185,2815
P,973pr2971c01,973c00
P,87079pr0064,87079
M,712b,712
P,973pr2974c01,973c00
B,2655,2655c01
P,3068bpr0241,3068b
M,3005pr9976,3005pr9977
P,973pr2984c01,973c00
P,98162pr0005,98162
P,3069bpr0139,3069b
P,970c00pr9919,970c00
P,3626cpr1621,3626c
P,24246pr0014,24246
B,6626,5306bc017
M,4093b,4093
B,6626,5306bc046
M,3005pr9893,3005pr9894
M,51991b,51991
P,3626cpr1638,3626c
P,970c00pr0821,970c00
M,645b,645
M,2016b,2016
P,973c03h01pr0189,973c03h01
M,604b,604
P,41751pr0003,41751
M,60616b,60616
P,970c00pr1506,970c00
M,6933c,6933
P,3626cpr1742,3626c
M,3005pr9986,3005pr9987
M,5306a,5306
P,970c00pr1505,970c00
P,3626cpr1741,3626c
P,3626cpr1744,3626c
M,2538a,2538
P,973pr3100c01,973c00
P,973c03h01pr0035,973c03h01
M,51991f,51991
A,973c01h01pr2030,973c01h01pr1654
M,3242c,3242
M,32b,32
P,973pr3105c01,973c00
M,3127b,3127
M,4j003a,4j003
P,970c00pr0923,970c00
P,3626cpr1751,3626c
M,851a,851
M,2871a,2871
P,3626cpr1746,3626c
T,16606pat0001,16606
M,3005pr9962,3005pr9963
M,6580a,6580
P,970c00pr1599,970c00
M,3795a,3795
M,upn0371,upn0370
M,upn0372a,upn0372
M,30089b,30089a
P,973c03h01pr0047,973c03h01
R,4238,4237
P,42498pr0004,42498
P,973c03h01pr0137,973c03h01
P,14769pr1002,14769
R,57894,57895
P,60603pr0002,60603
M,3006a,3006
M,60800b,60800
M,6896a,6896
M,2731a,2731
P,3626cpr1606,3626c
M,3005pr9907,3005pr9908
P,3626cpr1608,3626c
R,14417,14419
T,57562pat0001,57562
P,973c01h01pr2034,973c01h01
P,98603s02pr0003,98603
M,3614b,3614
P,67906c01pr0001,67906c01
B,6128,30457c01
P,98138pr0030,98138
P,3626cpr9908,3626c
P,28621pr3246,28621
P,973c02h02pr3926,973c02h02
P,973c03h02pr3670,973c03h02
P,973c03h02pr3500,973c03h02
P,973c03h03pr3533,973c03h03
R,4912,4911
P,973c03h27pr4487,973c03h27
P,98138pr0090,98138
P,973pr3048c01,973c00
M,2680b,2680
P,973pr3049c01,973c00
P,2454apr0001,2454a
B,3464,2655c01
M,upn0259b,upn0259
P,3626cpr1700,3626c
M,10a,10
M,3005pr9887,3005pr9888
M,4212b,4212
P,11245pr0002,11245
P,87990pr0002,87990
M,3005pr9980,3005pr9981
M,3962a,3962
M,upn0259bc,upn0259b
M,upn0420,upn0400
P,973c03h01pr0125,973c03h01
P,89973pr0001,89973
P,6171pr0001,6171
M,4229b,4229
P,3626cpr2587,3626c
P,98834pr0002,98834
R,6161,42484
P,3070bpr0150,3070b
M,51991d,51991
P,3626cpr0895,3626c
M,6895b,6895
P,3626cpr1752,3626c
R,2349a,4214
P,2528pr0008,2528
M,50339,46413
M,3037b,3037
M,3005pr9958,3005pr9959
M,3005pr9913,3005pr9914
M,3005pr9901,3005pr9902
P,15626pr0004,15626
M,upn0259ba,upn0259b
M,2871b,2871
M,6895a,6895
P,90462pr0003,90462
M,upn0384a,upn0384
P,15210pr0001,15210
M,2609a,2609
M,604c,604
B,2855,2856c01
M,3005pr9966,3005pr9967
M,645a,645
M,2350b,2350
M,715a,715
P,3626cpr9842,3626c
P,973pr1616c01,973c00
P,3626cpr0726,3626c
P,54873pr0001,54873
M,3852b,3852
P,14769pr0004,14769
R,3579,7930
M,42042g,42042und
M,3471a,3471
A,3007a,3007
R,24308b,18976
P,87552pr0004,87552
M,3470a,3470
M,upn0272b,upn0272
M,4617b,4617
M,4616a,4616
M,3229a,3229
P,3626cpr9934,3626c
M,42042a,42042und
T,64269pat0001,64269
M,3005pr9988,3005pr9989
M,6217b,6217
P,57895pr0006,57895
M,2961b,2961
P,3626cpr1186,3626c
M,4212a,4212
P,3068bpr9959,3068b
M,belupn0010c,belupn0010
P,2454apr0005,2454a
P,65072pat0001pr0005,65072pat0001
M,5313a,5313
R,2349a,4625
P,3069bpr9986,3069b
P,3626cpr2930,3626c
M,6014b,6014
R,55637b,55637c
M,2609b,2609
B,2584,2584c01
M,29a,29
P,18827pr0002,18827
M,649pr0007,649pr0006
M,upn0384b,upn0384
M,3684b,3684
M,3933a,3933
P,11245pr0001,11245
T,44813pat0001,44813
M,3005pr9972,3005pr9973
M,upn0274a,upn0274
M,30554b,30554
M,upn0259bb,upn0259b
M,165c01b,165c01
M,820a,820
M,4790b,4790
A,56630,39444
M,3005pr9896,3005pr9897
M,3005pr9929,3005pr9930
R,57028c01,57796
M,42042b,42042und
P,973pb0056c01,973c00
P,15038pr0001,15038
M,3242e,3242
B,6626,5306bc020
R,68149,68150
M,upn0272c,upn0272
P,90370pr0005,90370
T,64259pat0001,64259
B,48168,50163
P,3004pr0015,3004
P,54873pr0004,54873
R,3581,3644
R,2582,4214
P,60603pr0004,60603
M,60800a,60800
R,2582,4315
R,20441,20439
M,3005pr9945,3005pr9946
P,973c03h01pr0121,973c03h01
P,19729pr0009,19729
P,970c00pr0925,970c00
M,4617a,4617
P,2431pr0155,2431
P,970c00pr0905,970c00
P,970c00pr0888,970c00
P,3626cpr1698,3626c
M,2362b,2362
P,970c00pr0909,970c00
M,4820a,4820cc01
P,3626cpr1699,3626c
P,6171pr0002,6171
M,3005pr9924,3005pr9925
P,6171pr0003,6171
P,98834pr0003,98834
M,646b,646
R,73194c01,47899c01
M,2362a,2362
M,2493a,2493
M,3005pr9984,3005pr9985
P,3626cpr1750,3626c
M,3005pr9926,3005pr9927
P,973pr3124c01,973c00
M,3755b,3755
P,3626cpr1749,3626c
M,2684c01a,2684c01
M,brickslot2x2a,brickslot2x2
P,970c00pr0908,970c00
M,737b,737
R,6235,600
P,3626cpr1724,3626c
M,851b,851
P,973c03h01pr0011,973c03h01
P,3626cpr1723,3626c
M,2538b,2538
P,970c00pr9960,970c00
R,15456,14418
M,4151a,4151
A,19475,74981
P,3068bpr0268,3068b
P,3068bpr0269,3068b
P,3068bpr0270,3068b
M,3005pr9990,3005pr9992
M,19540,11953
P,50231pr0009,50231
B,2855,2856c02
M,966a,966
B,30457,30457c01
M,3008pr0026,3008pr0027
B,2584,2584c02
R,15456,14704
P,973c03h01pr0117,973c03h01
R,24308a,18976
M,3846pr0029,3846pr0018
P,3626cpr1816,3626c
M,3228b,3228
M,3229b,3229
P,3626cpr9907,3626c
M,3700b,3700
M,53020,87989
M,3005pr9899,3005pr9900
B,2584,2584c03
M,10b,10
B,2584,2584c04
M,4093c,4093
M,2350c,2350
M,30384b,30384
B,2584,2584c05
B,2584,2584c06
M,3228a,3228
M,upn0198b,upn0198
M,56823,upn0370
M,59900,4589
B,30459,30457c01
M,upn0253a,upn0253
B,48452,50163
P,2454apr0004,2454a
P,54873pr0006,54873
R,57028c04,57796
M,3005pr9921,3005pr9922
P,970c00pr0904,970c00
M,6821b,6821
M,2868b,2868
M,4071a,4071
P,973pr3050c01,973c00
M,4151b,4151
R,2582,4625
R,54128,54129
M,upn0281b,upn0281
R,73194c02,47899c02
P,973c03h01pr0116,973c03h01
M,3005pr9916,3005pr9917
M,723a,723
M,3005pr9970,3005pr9971
B,2584,2584c07
R,37675,37674
P,973c01h01pr2413,973c01h01
P,973c01h01pr0093,973c01h01
P,973c01h01pr0040,973c01h01
P,973c01h01pr2157,973c01h01
P,973c01h01pr1665,973c01h01
P,973c01h01pr3811,973c01h01
P,973c01h01pr1824,973c01h01
M,3934a,3934
P,970c00pr0886,970c00
R,14418,14419
B,2584,2584c08
P,3626cpr1712,3626c
P,47543pr0005,47543
R,14704,14419
M,3846pr0019,3846pr0018
M,3005pr9982,3005pr9983
M,2609c,2609
P,3626bpr0011,3626b
P,19729pr0010,19729
P,3068bpr0267,3068b
R,57028c02,57796
M,42042c,42042und
R,15456,14419
M,upn0274b,upn0274
M,6126b,6126
M,3005pr9978,3005pr9979
P,3068bpr0271,3068b
A,4094b,4094a
B,2856,2856c01
R,13246,89195
P,22385pr0001,22385
P,87557pr0001,87557
T,19064pat0001,19064
P,973c03h01pr0003,973c03h01
A,973c43h03pr4646,973c43h03pr2745
M,3005pr9947,3005pr9948
R,37675pr0001,37674pr0001
M,645c,645
M,44815b,44815
M,upn0117,upn0116
P,3626cpr2931,3626c
M,29b,29
T,973c08h25,973c00
M,3009pr0006,3009pr0004
R,4773,4767
M,upn0281a,upn0281
M,3035a,3035
M,6933b,6933
M,4747b,4747
P,98386pr0002,98386
M,3852a,3852
M,2578b,2578
M,4093a,4093
M,3030a,3030
M,6896b,6896
M,801a,801
M,813a,813
M,2350a,2350
M,2493b,2493
M,3005pr9937,3005pr9938
M,carbasemia,carbasemi
M,14728,upn0370
P,54873pr0005,54873
M,upn0206a,upn0206
P,2587pr0025,2587
P,2454apr0006,2454a
M,clikupn0140a,clikupn0140
R,2873,4214
P,93089pr0002,93089
M,3005pr9956,3005pr9957
R,2873,4315
R,2873,4625
M,3005pr9960,3005pr9961
P,3068bpr0246,3068b
R,60639c03pr01,60642c03pr01
M,3005pr9942,3005pr9943
R,4773,4771
M,3008pr0025,3008pr0027
P,87557pr0002,87557
R,73194c03,47899c03
M,27c,27
M,3242b,3242
M,upn0254a,upn0254
M,33a,33
T,49656pat0003,49656
B,2584,2584c09
B,6626,5306bc021
P,973pr4116c01,973c00
P,3626cpr2916,3626c
P,970c00pr1724,970c00
P,13792pr0004,13792
P,3626cpr2970,3626c
R,4773,2500c01
P,3626cpr2948,3626c
P,3626cpr2950,3626c
P,3626cpr2951,3626c
P,3626cpr2952,3626c
M,2547a,2547
M,upn0341a,upn0341
M,upn0272a,upn0272
P,19729pr0012,19729
A,19482,99798
P,970c00pr9934,970c00
P,3626cpr1030,3626c
B,2856,2856c02
R,58381,58380
R,15,17
P,90652pr0001,90652
P,973pr3181c01,973c00
M,6061b,6061
M,7039d,7039
T,19061pat0001,19061
P,3626cpr1979,3626c
P,3626cpr9852,3626c
M,upn0392,upn0393
P,3065pr0002,3065
M,70928b,70928
M,3039f,3039
M,604a,604
P,15068pr0017,15068
P,15427pr0001,15427
P,3009pr0005,3009
P,2723pr0002,2723
P,2431pr0088,2431
P,98138pr0072,98138
P,2431pr0090,2431
P,2431pr0089,2431
P,87079pr0111,87079
A,87058,2972
M,713b,713
M,3005pr9904,3005pr9905
P,3004pr0022,3004
P,973c03h01pr0004,973c03h01
P,3004pr0023,3004
P,3069bpr0186,3069b
P,4162pr0054,4162
P,3068bpr0330,3068b
M,45896b,45896
M,3847a,3847
P,973c03h01pr2775,973c03h01
P,87079pr0110,87079
P,87079pr0112,87079
P,98223pr0009,98223
P,98223pr0003,98223
P,973pr9859c01,973c00
P,98223pr0008,98223
M,4616b,4616
M,3241b,3241
M,646c,646
P,973pr4793c01,973c00
M,3005pr9932,3005pr9933
P,98223pr9998,98223
M,3037f,3037
M,3005pr9949,3005pr9950
M,6933a,6933
P,970c00pr9928,970c00
M,700e,700
M,700ed,700
P,2454apr0007,2454a
P,25973pr0004,25973
A,93595,93594
P,3626cpr2588,3626c
R,4474,4214
B,23325,23335c01
M,32c,32
M,6014a,6014
P,3298pr0037,3298
R,4474,4315
M,3231b,3231
M,3230a,3230
M,3228c,3228
P,93089pr0001,93089
R,4474,4625
P,3626cpr2602,3626c
R,73194c04,47899c04
P,3626cpr1324,3626c
P,973c01h01pr0061,973c01h01
P,3069bpr9985,3069b
P,973pr1458c01,973c00
P,970c00pr1515,970c00
R,2429,2430
B,2855,2856c03
P,31005pr0006,31005
R,41769,41770
P,22385pr0002,22385
P,6474pr0002,6474
P,973c03h03pr0001,973c03h03
R,3192,3193
P,973c03h02pr1670,973c03h02
P,3626cpr1631,3626c
